Dataset,Method,F-Score
Java,Hybrid_i-ii_K,0.90
Turing,Hybrid_i-ii_K,0.90
Monogramma,Hybrid_i-ii_K,0.89
Youtube,Hybrid_i-ii_K,0.92
Seven against thebes,Hybrid_i-ii_K,0.84
Electra,Hybrid_i-ii_K,0.78
Oidypous tyrannos,Hybrid_i-ii_K,0.79
Lysistrata,Hybrid_i-ii_K,0.81
Autumn,Hybrid_i-ii_K,0.77
Erwtokritos,Hybrid_i-ii_K,0.65
Java,Hybrid_i-ii_fixedK,0.75
Turing,Hybrid_i-ii_fixedK,0.76
Monogramma,Hybrid_i-ii_fixedK,0.83
Youtube,Hybrid_i-ii_fixedK,0.86
Seven against thebes,Hybrid_i-ii_fixedK,0.77
Electra,Hybrid_i-ii_fixedK,0.78
Oidypous tyrannos,Hybrid_i-ii_fixedK,0.79
Lysistrata,Hybrid_i-ii_fixedK,0.81
Autumn,Hybrid_i-ii_fixedK,0.77
Erwtokritos,Hybrid_i-ii_fixedK,0.79
