Dataset,M1_F,M1_len,M2_F,M2_len,M3calc_F,M3calc_len,M3fixed_F,M3fixed_len,M4calc_F,M4calc_len,M4fixed_F,M4fixed_len
Java,0.939,9,0.919,7,0.910,5,0.754,3,0.919,7,0.910,5
Turing,0.952,11,0.907,7,0.907,7,0.762,3,0.920,8,0.899,5
Monogramma,0.921,8,0.919,7,0.888,5,0.834,4,0.911,6,0.888,5
Youtube,0.945,7,0.904,4,0.925,5,0.865,3,0.865,3,0.760,2
Seven Against Thebes,0.893,14,0.892,11,0.844,6,0.779,5,0.892,10,0.891,9
Electra,0.857,12,0.856,11,0.783,6,0.783,6,0.855,10,0.855,10
Oidypous Tyrannos,0.857,12,0.857,12,0.791,6,0.791,6,0.857,11,0.856,10
Lysistrata,0.875,12,0.875,12,0.822,6,0.822,6,0.875,11,0.874,10
Autumn,0.886,13,0.885,12,0.775,6,0.775,6,0.885,11,0.882,10
Erwtokritos,0.808,14,0.806,12,0.654,6,0.790,9,0.805,11,0.799,10
